,user_followers,user_friends,user_favourites,user_verified,Sentiment
296,6342.0,328.0,11127.0,0,0
297,21898.0,1182.0,35296.0,0,1
298,26103.0,20718.0,6296.0,0,1
299,6180.183566116452,20718.0,6296.0,0,2
300,26103.0,20718.0,6296.0,0,1
301,467.0,71.0,864.0,0,1
302,35.0,141.0,438.0,0,1
303,1.0,19.0,12.0,0,2
304,631.0,2894.0,7588.0,0,1
305,26103.0,20718.0,6296.0,0,1
306,26103.0,20718.0,6296.0,0,1
307,1281.0,25.0,72.0,0,1
308,175.0,281.0,1629.0,0,1
309,175.0,281.0,1629.0,0,1
310,6180.183566116452,25.0,72.0,0,1
311,13117.0,93.0,3.0,0,2
312,25.0,64.0,320.0,0,2
313,12.0,17.0,5.0,0,1
314,30.0,178.0,1877.0,0,1
315,82628.0,239.0,1.0,1,1
316,263.0,599.0,4636.0,0,1
317,950.0,115.0,79.0,0,2
318,583.0,45.0,1943.0,0,2
319,78779.0,46656.0,120853.0,0,2
320,245.0,304.0,2367.0,0,2
321,8600.0,1066.0,1185.0,0,1
322,609.0,601.0,3.0,0,1
323,4150.0,0.0,1802.0,0,2
324,6180.183566116452,58.0,4730.0,0,1
325,6.0,20.0,129.0,0,2
326,3210.0,1.0,28.0,0,1
327,5626.0,5905.0,10741.0,0,1
328,4.0,57.0,61.0,0,1
329,5267.0,5791.0,117618.0,0,1
330,37.0,111.0,135.0,0,1
331,1494.0,4231.0,9429.0,0,1
332,236.0,2.0,0.0,0,1
333,1063.0,2943.0,1838.0,0,1
334,10398.0,343.0,4265.0,0,1
335,6180.183566116452,1181.0,165.0,0,2
336,1.0,56.0,18.0,0,1
337,1.0,0.0,0.0,0,2
338,4279.0,3.0,3.0,0,1
339,68.0,5.0,1.0,0,1
340,112.0,284.0,647.0,0,2
341,4150.0,0.0,1802.0,0,1
342,5626.0,5905.0,1400.5,0,1
343,4957.0,558.0,999.0,0,2
344,22406.0,443.0,39583.0,0,0
345,114.0,281.0,3774.0,0,0
346,68.0,5.0,1.0,0,2
347,410.0,388.0,1315.0,0,1
348,30.0,184.0,342.0,0,2
349,219.0,262.0,3875.0,0,2
350,54889.0,13381.0,4496.0,0,1
351,21075.0,22096.0,12466.0,0,1
352,342.0,85.0,4385.0,0,1
353,2.0,26.0,18.0,0,1
354,4150.0,0.0,1802.0,0,2
